赛季,球员ID,球员,球队ID,出场,替补,出场总时长,运动战进球,点球,总进球数,射门,射正,被侵犯次数,最佳球员次数,评分
2016-2017,17667,马塞罗·加莱,91,27,0,2341,4,0,4,11,6,12,1,184.84
2016-2017,17690,罗萨莱斯,102,32,0,2880,1,0,1,19,5,15,0,222.24
2016-2017,20197,马斯切拉诺,84,27,6,2025,0,1,1,11,2,17,0,182.71
2016-2017,22082,帕雷哈,86,27,0,2256,1,0,1,9,3,13,1,183.54
2016-2017,24060,托雷斯,109,31,18,1418,7,1,8,45,20,27,1,206.68
2016-2017,24067,梅西,84,34,2,2832,31,6,37,179,65,65,13,286.08
2016-2017,24079,埃斯库德罗,92,36,2,2884,7,3,10,96,39,81,4,258.16
2016-2017,24104,S.拉莫斯,82,28,0,2502,7,0,7,35,10,37,1,198.94
2016-2017,24106,塞尔吉奥,114,26,0,2340,0,0,0,0,0,3,0,169.36
2016-2017,24124,阿戈拉特,106,38,6,2822,7,1,8,35,11,47,2,262.55
2016-2017,24366,本泽马,82,29,6,1914,11,0,11,69,34,9,2,205.46
2016-2017,24823,西奎埃拉,109,10,3,543,0,0,0,0,0,4,0,63.07
2016-2017,24893,胡拉多,100,31,4,2459,3,0,3,35,12,47,0,210.32
2016-2017,24923,贝拉,106,35,4,2562,7,2,9,63,20,70,4,247.27
2016-2017,25358,莫德里奇,82,25,3,1892,1,0,1,20,10,31,2,180.69
2016-2017,25932,贝尔,82,19,2,1468,7,0,7,64,18,14,3,141.46
2016-2017,26019,菲利佩·路易斯,109,34,0,3009,3,0,3,25,10,46,6,257.6
2016-2017,26119,阿丹,96,37,0,3330,0,0,0,0,0,3,1,250.42
2016-2017,26120,托里斯,102,22,4,1565,0,0,0,4,2,4,0,143.15
2016-2017,26122,索里亚诺,107,34,1,2984,2,3,5,17,9,24,1,245.05
2016-2017,26124,贝尼亚特,92,32,4,2413,1,0,1,35,11,26,2,223.74
2016-2017,26290,埃尔扎尔,992,26,8,1671,4,0,4,31,18,30,1,172.76
2016-2017,26358,马塞洛,82,30,4,2277,2,0,2,25,4,27,3,215.81
2016-2017,26641,B.马基尔,98,6,3,286,0,0,0,0,0,9,0,37.29
2016-2017,26777,L.苏亚雷斯,84,35,1,2865,28,0,28,120,49,35,5,271.59
2016-2017,26841,库兹马诺维奇,102,4,1,216,0,0,0,4,0,3,0,25.23
2016-2017,26883,加梅罗,109,31,10,1716,11,1,12,50,23,8,2,211.09
2016-2017,26990,拉基蒂奇,84,32,6,2344,8,0,8,48,16,38,1,229.7
2016-2017,27083,克罗斯,82,29,1,2501,3,0,3,33,11,31,4,222.66
2016-2017,27157,格拉内罗,100,17,9,714,0,0,0,10,1,8,1,110.43
